station_code,origin_year,count,sb_mile
BAL,2014,6081,416
BAL,2015,5827,416
BAL,2016,6157,416
BAL,2017,6253,416
BAL,2018,6217,416
BAL,2019,6273,416
BAL,2020,4297,416
BAL,2021,2119,416
BWI,2011,4981,427
BWI,2012,4337,427
BWI,2013,5809,427
BWI,2014,5838,427
BWI,2015,5852,427
BWI,2016,6244,427
BWI,2017,6257,427
BWI,2018,6216,427
BWI,2019,6288,427
BWI,2020,4299,427
BWI,2021,2119,427
NCR,2011,5151,448
NCR,2012,4542,448
NCR,2013,5631,448
NCR,2014,5641,448
NCR,2015,5679,448
NCR,2016,5792,448
NCR,2017,5812,448
NCR,2018,5761,448
NCR,2019,5711,448
NCR,2020,3944,448
NCR,2021,1992,448
WAS,2011,5963,457
WAS,2012,6193,457
WAS,2013,6226,457
WAS,2014,6218,457
WAS,2015,6220,457
WAS,2016,6251,457
WAS,2017,6282,457
WAS,2018,6200,457
WAS,2019,6290,457
WAS,2020,4293,457
WAS,2021,2124,457
